,case_by_day,case_by_time,active_by_day,active_by_time,death_by_day,death_by_time,recovered_by_day,recovered_by_time
2021-01-01,9,1474,,,0,35,0,1325
2021-02-01,8,1482,,,0,35,12,1337
2021-03-01,12,1494,,,0,35,2,1339
2021-04-01,3,1497,,,0,35,0,1339
2021-05-01,7,1504,,,0,35,0,1339
2021-06-01,1,1505,,,0,35,14,1353
2021-07-01,4,1509,,,0,35,0,1353
2021-08-01,3,1512,,,0,35,4,1357
2021-09-01,1,1513,,,0,35,4,1361
2021-10-01,1,1514,,,0,35,0,1361
2021-11-01,1,1515,,,0,35,0,1361
2021-12-01,5,1520,,,0,35,0,1361
2021-01-13,1,1521,,,0,35,8,1369
2021-01-14,10,1531,,,0,35,0,1369
2021-01-15,5,1536,,,0,35,11,1380
2021-01-16,1,1537,,,0,35,0,1380
2021-01-17,0,1537,,,0,35,0,1380
2021-01-18,2,1539,,,0,35,22,1402
2021-01-19,1,1540,,,0,35,0,1402
2021-01-20,4,1544,,,0,35,4,1406
2021-01-21,2,1546,,,0,35,5,1411
2021-01-22,2,1548,,,0,35,0,1411
2021-01-23,0,1548,,,0,35,0,1411
2021-01-24,0,1548,,,0,35,0,1411
2021-01-25,1,1549,,,0,35,14,1425
2021-01-26,2,1551,,,0,35,5,1430
2021-01-27,0,1551,,,0,35,0,1430
2021-01-28,9,1560,,,0,35,0,1430
2021-01-29,97,1657,,,0,35,18,1448
2021-01-30,110,1767,,,0,35,8,1456
2021-01-31,50,1817,,,0,35,1,1457
2021-01-02,33,1850,,,0,35,3,1460
2021-02-02,32,1882,,,0,35,0,1460
2021-03-02,29,1911,,,0,35,1,1461
2021-04-02,46,1957,,,0,35,4,1465
2021-05-02,19,1976,,,0,35,0,1465
2021-06-02,5,1981,,,0,35,3,1468
2021-07-02,20,2001,,,0,35,4,1472
2021-08-02,49,2050,,,0,35,0,1472
2021-09-02,19,2069,,,0,35,2,1474
2021-10-02,22,2091,,,0,35,6,1480
2021-11-02,49,2140,,,0,35,48,1528
2021-12-02,2,2142,,,0,35,1,1529
2021-02-13,53,2195,,,0,35,0,1529
2021-02-14,33,2228,,,0,35,3,1532
2021-02-15,41,2269,,,0,35,14,1546
2021-02-16,42,2311,,,0,35,27,1573
2021-02-17,18,2329,,,0,35,7,1580
2021-02-18,18,2347,,,0,35,25,1605
2021-02-19,15,2362,,,0,35,22,1627
2021-02-20,6,2368,,,0,35,0,1627
2021-02-21,15,2383,,,0,35,90,1717
2021-02-22,9,2392,,,0,35,0,1717
2021-02-23,9,2401,,,0,35,0,1717
2021-02-24,11,2412,,,0,35,73,1790
2021-02-25,8,2420,,,0,35,14,1804
2021-02-26,6,2426,,,0,35,35,1839
2021-02-27,6,2432,,,0,35,5,1844
2021-02-28,16,2448,,,0,35,32,1876
2021-01-03,13,2461,,,0,35,16,1892
2021-02-03,11,2472,,,0,35,6,1898
2021-03-03,10,2482,,,0,35,0,1898
2021-04-03,6,2488,,,0,35,22,1920
2021-05-03,6,2494,,,0,35,0,1920
2021-06-03,13,2507,,,0,35,0,1920
2021-07-03,5,2512,,,0,35,0,1920
2021-08-03,12,2524,,,0,35,0,1920
2021-09-03,2,2526,,,0,35,84,2004
2021-10-03,3,2529,,,0,35,0,2004
2021-11-03,4,2533,,,0,35,44,2048
2021-12-03,17,2550,,,0,35,38,2086
2021-03-13,3,2553,,,0,35,0,2086
2021-03-14,1,2554,,,0,35,0,2086
2021-03-15,3,2557,,,0,35,29,2115
2021-03-16,3,2560,,,0,35,43,2158
2021-03-17,7,2567,,,0,35,40,2198
2021-03-18,3,2570,,,0,35,0,2198
2021-03-19,1,2571,,,0,35,0,2198
2021-03-20,1,2572,,,0,35,0,2198
2021-03-21,0,2572,,,0,35,0,2198
2021-03-22,3,2575,,,0,35,35,2233
2021-03-23,1,2576,,,0,35,13,2246
2021-03-24,0,2576,,,0,35,19,2265
2021-03-25,3,2579,,,0,35,0,2265
2021-03-26,7,2586,,,0,35,0,2265
2021-03-27,0,2586,,,0,35,43,2308
2021-03-28,5,2591,,,0,35,0,2308
2021-03-29,3,2594,,,0,35,0,2308
2021-03-30,0,2594,,,0,35,51,2359
2021-03-31,9,2603,,,0,35,0,2359
2021-01-04,14,2617,,,0,35,0,2359
2021-02-04,3,2620,,,0,35,24,2383
2021-03-04,6,2626,,,0,35,0,2383
2021-04-04,5,2631,,,0,35,0,2383
2021-05-04,6,2637,,,0,35,33,2416
2021-06-04,11,2648,,,0,35,6,2422
2021-07-04,11,2659,,,0,35,7,2429
2021-08-04,9,2668,,,0,35,0,2429
2021-09-04,15,2683,,,0,35,0,2429
2021-10-04,9,2692,,,0,35,0,2429
2021-11-04,1,2693,,,0,35,0,2429
2021-12-04,12,2705,,,0,35,16,2445
2021-04-13,9,2714,,,0,35,0,2445
2021-04-14,19,2733,,,0,35,0,2445
2021-04-15,25,2758,,,0,35,0,2445
2021-04-16,14,2772,,,0,35,30,2475
2021-04-17,9,2781,,,0,35,0,2475
2021-04-18,3,2784,,,0,35,0,2475
2021-04-19,7,2791,,,0,35,0,2475
2021-04-20,10,2801,,,0,35,15,2490
2021-04-21,5,2806,,,0,35,0,2490
2021-04-22,10,2816,,,0,35,0,2490
2021-04-23,14,2830,,,0,35,0,2490
2021-04-24,3,2833,,,0,35,26,2516
2021-04-25,10,2843,,,0,35,0,2516
2021-04-26,9,2852,,,0,35,0,2516
2021-04-27,5,2857,5.0,303.0,0,35,0,2516
2021-04-28,8,2865,8.0,311.0,0,35,0,2516
2021-04-29,45,2910,45.0,356.0,0,35,0,2516
2021-04-30,18,2928,18.0,374.0,0,35,0,2516
2021-01-05,14,2942,-18.0,356.0,0,35,33,2549
2021-02-05,20,2962,19.0,375.0,0,35,0,2549
2021-03-05,19,2981,8.0,383.0,0,35,11,2560
2021-04-05,15,2996,15.0,398.0,0,35,0,2560
2021-05-05,26,3022,26.0,424.0,0,35,0,2560
2021-06-05,68,3090,68.0,492.0,0,35,0,2560
2021-07-05,47,3137,47.0,539.0,0,35,0,2560
2021-08-05,93,3230,51.0,590.0,0,35,42,2602
2021-09-05,102,3332,102.0,692.0,0,35,0,2602
2021-10-05,129,3461,129.0,821.0,0,35,16,2618
2021-11-05,76,3537,60.0,881.0,0,35,0,2618
2021-12-05,86,3623,68.0,949.0,0,35,18,2636
2021-05-13,87,3710,66.0,1015.0,0,35,21,2657
2021-05-14,106,3816,106.0,1121.0,0,35,0,2657
2021-05-15,53,3869,157.0,1278.0,1,36,11,2668
2021-05-16,306,4175,190.0,1468.0,0,36,0,2668
2021-05-17,184,4359,183.0,1651.0,1,37,0,2668
2021-05-18,153,4512,134.0,1785.0,0,37,19,2687
2021-05-19,67,4579,178.0,1963.0,0,37,0,2687
2021-05-20,230,4809,117.0,2080.0,2,39,2,2689
2021-05-21,132,4941,128.0,2208.0,2,41,0,2689
2021-05-22,145,5086,113.0,2321.0,0,41,32,2721
2021-05-23,131,5217,130.0,2451.0,1,42,0,2721
2021-05-24,187,5404,112.0,2563.0,2,44,73,2794
2021-05-25,370,5774,447.0,3010.0,0,44,0,2794
2021-05-26,312,6086,175.0,3185.0,1,45,59,2853
2021-05-27,230,6316,229.0,3414.0,1,46,0,2853
2021-05-28,80,6396,210.0,3624.0,1,47,43,2896
2021-05-29,460,6856,286.0,3910.0,0,47,0,2896
2021-05-30,251,7107,197.0,4107.0,0,47,54,2950
2021-05-31,214,7321,134.0,4241.0,0,47,80,3030
2021-01-06,251,7572,237.0,4478.0,1,48,13,3043
2021-02-06,241,7813,198.0,4676.0,1,49,42,3085
2021-03-06,250,8063,250.0,4926.0,0,49,0,3085
2021-04-06,224,8287,65.0,4991.0,2,51,156,3241
2021-05-06,254,8541,184.0,5175.0,2,53,69,3310
